"BMI(20,39)",,"BMI(40,59)",,"BMI(60,79)"
19.25373053,,23.37862876,,23.30411305
18.79747967,,23.33666812,,23.21161594
20.20298349,,24.42250412,,23.21566703
24.69472715,,22.21845412,,21.36357776
19.31780878,,22.96776092,,20.54071271
21.96476017,,21.84941827,,19.47596756
20.46773982,,24.63328022,,23.25247329
24.30909684,,23.48541864,,21.64727583
18.73579822,,22.17584317,,21.21733385
23.26856582,,23.15529123,,19.7825216
22.75805714,,21.65699934,,18.51284518
19.36313869,,18.75885958,,19.12926746
18.76905151,,23.90673706,,23.43352286
20.20779456,,18.77203722,,18.72029627
24.37854772,,23.10224954,,22.41563052
24.3490816,,24.42371382,,18.98155279
18.539799,,22.75726479,,24.25039586
24.69334095,,24.44158801,,21.60551345
24.59791978,,23.60746946,,24.22199878
20.56613162,,20.43781537,,21.74056379
23.81557563,,20.9933463,,24.60270085
22.45395495,,24.70976706,,21.73320493
20.15702063,,21.33090176,,24.4565048
20.42206434,,21.46034439,,21.59864022
23.54858709,,24.61076159,,21.11829412
23.9339279,,24.22249221,,21.10525508
,,23.5127317,,19.69436793
,,22.67326999,,23.0806659
,,,,24.97437619
,,,,19.88716817
,,,,22.26738129
,,,,22.16790307
,,,,20.55775355
,,,,22.94319951
,,,,22.89871505
,,,,21.38597631
,,,,20.85888867
,,,,21.04394842
,,,,24.18521643
,,,,18.56288975
,,,,23.51716758
