"IC (litre) of Childhood (5-14 years)","","IC (litre) of Early Adulthood (15-24 years)","","IC (litre) of Middle Adulthood (25-34 years)","","IC (litre) of Late Adulthood (35-50 years)","","IC (litre) for Ageing (51-70 years) "
"1.413","","2.178","","3.369","","3.038","","2.995"
"1","","2.979","","3.369","","3.022","","2.397"
"1.914","","2.178","","2.804","","2.792","","2.584"
"1.11","","3.169","","3.022","","3.16","","4.096"
"0.78","","2.793","","2.09","","3.379","","1.943"
"1.74","","3.172","","2.522","","2.227","","3.836"
"2.211","","2.178","","3.015","","3.787","","2.148"
"1.757","","2.648","","2.804","","2.321","","2.301"
"1.582","","3.005","","2.084","","2.951","","4.304"
"2.032","","4.01","","2.259","","2.407","","2.021"
"1.263","","2.979","","2.804","","3.787","","3.419"
"1.402","","2.793","","3.457","","3.38","","4.528"
"1.263","","2.076","","3.074","","3.379","","3.21"
"0.846","","3.419","","3.397","","2.321","","2.453"
"1.952","","2.738","","3.324","","2.407","","1.943"
"1.263","","2.931","","3.457","","3.042","","4.235"
"0.887","","2.931","","2.593","","4.141","","2.341"
"1.402","","2.226","","4.106","","2.711","","2.425"
"1.562","","3.07","","2.92","","2.562","","2.341"
"0.975","","2.076","","3.022","","4.517","","3.247"
"1.914","","2.571","","3.074","","4.241","","3.206"
"0.887","","2.571","","3.074","","2.935","","2.871"
"1.952","","3.172","","3.989","","2.457","","3.069"
"1.125","","2.271","","4.106","","3.379","","2.893"
"1.562","","2.226","","2.99","","2.454","","3.069"
"2.032","","3.419","","2.963","","2.407","",""
"1.11","","2.076","","2.09","","2.951","",""
"0.975","","2.226","","3.778","","3.099","",""
"2.49","","3.169","","3.369","","3.19","",""
"0.887","","3.419","","4.106","","3.723","",""
"1","","2.738","","2.522","","","",""
"1.582","","2.931","","2.259","","","",""
"","","2.481","","3.397","","","",""
"","","2.271","","2.92","","","",""
"","","1.996","","2.259","","","",""
"","","3.172","","2.963","","","",""
"","","3.005","","3.989","","","",""
"","","3.07","","3.778","","","",""
"","","","","4.341","","","",""
"","","","","3.015","","","",""
"","","","","3.022","","","",""
"","","","","3.457","","","",""
"","","","","4.341","","","",""
